Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-16,28.94,29.22,28.55,28.63,72431,EQ,872.0,83.06,62280.0
2026-01-19,28.5,28.9,28.13,28.43,83879,EQ,1022.0,82.07,65885.0
2026-01-20,28.3,29.0,27.25,27.68,69942,EQ,909.0,76.94,48201.0
2026-01-21,27.68,27.68,26.77,27.12,83634,EQ,826.0,101.25,71048.0
2026-01-22,27.11,27.7,27.11,27.64,34874,EQ,365.0,95.55,22880.0
2026-01-23,28.19,28.19,27.27,27.42,29861,EQ,454.0,65.77,20617.0
2026-01-27,28.1,28.5,27.0,27.43,43408,EQ,565.0,76.83,28959.0
2026-01-28,27.14,28.09,27.14,28.0,47438,EQ,474.0,100.08,34477.0
2026-01-29,28.56,28.56,27.31,27.64,63153,EQ,618.0,102.19,44074.0
2026-01-30,27.64,28.0,27.19,27.82,63027,EQ,397.0,158.76,26243.0
2026-02-01,27.94,28.36,27.1,27.31,64198,EQ,506.0,126.87,58612.0
2026-02-02,26.76,27.69,26.63,27.5,28764,EQ,379.0,75.89,20614.0
2026-02-03,28.06,29.06,28.01,28.42,93309,EQ,472.0,197.69,62563.0
2026-02-04,28.79,28.79,28.39,28.44,54071,EQ,329,164.35,43077
2026-02-05,28.53,29.18,28.18,28.59,52284,EQ,293,178.44,30152
2026-02-06,28.5,28.93,28.05,28.21,22865,EQ,264,86.61,17007
2026-02-09,28.57,28.9,28.32,28.86,46076,EQ,348,132.4,40830
2026-02-10,28.87,29.26,28.87,28.99,48027,EQ,381,126.06,34719
2026-02-11,29.28,29.28,28.76,29.1,65812,EQ,338,194.71,51535
2026-02-12,29.82,29.82,28.67,28.82,28320,EQ,305,92.85,17657
2026-02-13,28.6,28.69,28.22,28.55,45379,EQ,278,163.23,39138
2026-02-16,28.69,28.95,28.05,28.49,13431,EQ,284,47.29,7870
2026-02-17,28.63,28.85,28.25,28.63,16854,EQ,224,75.24,10940
2026-02-18,29.64,29.64,28.45,28.59,46277,EQ,206,224.65,39920
2026-02-19,28.59,28.77,28.03,28.46,17959,EQ,256,70.15,10590
2026-02-20,28.04,29.0,27.89,28.41,11219,EQ,138,81.3,8630
